row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
19,Clayton Hotel Birmingham,Eastside,Birmingham,52.481026,-1.890458,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/clayton-hotel-birmingham.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 158.00,15800,,£158 Price £158 Includes taxes and charges,48,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=52.481026&locale=en&longitude=-1.890458&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 157.50,15750,c1361f01-21c5-4564-b43c-2f23f64013fa,200896,Clayton Hotel Birmingham,Deluxe Double Room,20260630|20260701|W|164|200896|DBL.DX|NRF BAR|RO||1~1~0||N@07~A-SIC~2329d~-532945549~S~~~NRF~~62D971797B9548D178220701862405AAUK007200540010102329d,Omio/HBX,GBP -0.50,-50,
20,ibis Styles Birmingham Centre,Jewellery Quarter,Birmingham,52.481941,-1.906528,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-styles-birmingham-centre.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=52.481941&locale=en&longitude=-1.906528&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 121.50,12150,4695d733-db6c-4ff6-9a96-9cf80b7e5bbb,383058,ibis Styles Birmingham Centre,Standard Double Room,20260630|20260701|W|164|383058|DBL.ST|ID_B2B_97|RO|APFLMRA3|1~1~0||N@07~A-SIC~23279~1957820037~S~~~NRF~~DA2A60B3BDDB401178220703713405AAUK0073005500101023279,n/a,,,availability_table_not_found
21,Novotel Birmingham Centre,Broad Street,Birmingham,52.476389,-1.913712,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotelbirminghamcentre.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=52.476389&locale=en&longitude=-1.913712&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 142.31,14231,d329bef3-7825-401b-875c-b0486687d168,7516,Novotel Birmingham Centre,Standard Double Room,20260630|20260701|W|164|7516|DBL.ST|ID_B2B_71|RO|B2BNRF|1~1~0||N@07~A-SIC~21f8e~107926919~N~~~NRF~~623B11E3FE3F41D178220705559905AAUK0060004400101021f8e,n/a,,,availability_table_not_found
22,Novotel Leeds Centre,city centre,Leeds,53.795288,-1.552945,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotel-leeds-centre.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.795288&locale=en&longitude=-1.552945&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 147.91,14791,f902ba3c-6eef-477b-b072-e37ebb618c61,14040,Novotel Leeds Centre,Standard Double Room,20260630|20260701|W|164|14040|DBL.ST|ID_B2B_71|RO|B2B|1~1~0||N@07~A-SIC~25b93~720145505~N~~~NOR~~E092E51279C34E9178220707458705AAUK0041002900091025b93,n/a,,,availability_table_not_found
23,ibis Styles Leeds City Centre Arena,city centre,Leeds,53.801589,-1.543234,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-styles-leeds-city-centre-arena.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 146.00,14600,,£146 Price £146 Includes taxes and charges,22,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.801589&locale=en&longitude=-1.543234&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 146.00,14600,f67d3932-b3dd-442e-b01f-78b788d95459,574391,Ibis Styles Leeds Centre Arena,King Size Bed Double Room,20260630|20260701|W|164|574391|DBL.KG|ID_B2B_97|RO|APFLMRA3|1~1~0||N@07~A-SIC~20092~1790690324~S~~~NRF~~E70412B5D3714E6178220709296705AAUK0042003000091020092,Tie,GBP 0.00,0,
24,Leonardo Hotel Leeds,Brewery Wharf,Leeds,53.793367,-1.538007,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/leonardo-hotel-leeds.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 132.00,13200,,£132 Price £132 Includes taxes and charges,40,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.793367&locale=en&longitude=-1.538007&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 132.30,13230,6398203e-197b-468c-b3e9-6c6fb2be873b,16793,Leonardo Hotel Leeds ,Standard Double Room,20260630|20260701|W|164|16793|DBL.ST|BAR NRF RO 16|RO||1~1~0||N@07~A-SIC~21e84~1794045811~S~~~NRF~~5D8329A9A9E84DA178220711092905AAUK0041002900091021e84,Booking.com,+GBP 0.30,30,
25,Aloft Liverpool,city centre,Liverpool,53.407533,-2.989409,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/aloft-liverpool.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.407533&locale=en&longitude=-2.989409&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,booking_price_unavailable;omio_exact_hotel_not_found
26,ibis Styles Liverpool Centre Dale Street,city centre,Liverpool,53.408478,-2.987749,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-styles-liverpool-dale-st.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 140.00,14000,,£140 Price £140 Includes taxes and charges,50,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.408478&locale=en&longitude=-2.987749&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 122.56,12256,23ff241d-c6e9-461e-b6ee-4b193e59dedf,383530,ibis Styles Liverpool Centre Dale Street - Cavern ,Accessible Double Room,20260630|20260701|W|164|383530|DBL.H6|ID_B2B_87|RO|B2BNRFEUXX|1~1~0||N@07~A-SIC~2387a~-895945694~N~~~NRF~~8D5BEB107A394A1178220714699305AAUK005500430013102387a,Omio/HBX,GBP -17.44,-1744,
27,Leonardo Royal Hotel Glasgow,Central Station,Glasgow,55.85685,-4.257751,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/leonardo-hotel-glasgow.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 153.00,15300,,£153 Price £153 Includes taxes and charges,42,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=55.85685&locale=en&longitude=-4.257751&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 153.00,15300,752f5c6b-528d-4158-b150-ca94c8e403e4,7536,Leonardo Royal Hotel Glasgow,Superior with Double Bed Double Room,20260630|20260701|W|163|7536|DBL.DB-SU|BAR RO NRF 16|RO||1~1~0||N@07~A-SIC~20099~708322136~S~~~NRF~~3C130EBE133E43F178220716511405AAUK0067005500121020099,Tie,GBP 0.00,0,
28,Moxy Glasgow SEC,Scottish Event Campus,Glasgow,55.859734,-4.281577,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/moxy-glasgow-sec.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=55.859734&locale=en&longitude=-4.281577&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,booking_price_unavailable;omio_exact_hotel_not_found
