row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1780321131492&force_referer=,GBP 327.00,32700,,£327 Price £327 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=51.491809&locale=en&longitude=-0.22057&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 275.36,27536,21984512-f61b-4356-a597-57554368066b,7546,Novotel London West,Premier Double Room,20260608|20260609|W|164|7546|DBL.PE|ID_B2B_87|RO|B2BEUXX|1~1~0||N@07~A-SIC~224113~237700793~N~~~NOR~~35A1746BCA5347C178032114972705AAUK10000938002010224113,Omio/HBX,GBP -51.64,-5164,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 319.00,31900,,£319 Price £319 Includes taxes and charges,60,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=51.516415&locale=en&longitude=-0.163603&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 311.20,31120,561637d3-128b-4ede-b679-0800ee2f86bd,13896,Marriott Hotel London Marble Arch,Deluxe King Bed Double Room,20260608|20260609|W|164|13896|DBL.DX-KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~214137~362994875~N~~~NRF~~0726729ED3AA4DA178032118299105AAUK10000939002010214137,Omio/HBX,GBP -7.80,-780,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCrJf20AbAAgHSAiQ0NTA3NmI0NC01M2M4LTRmYmItYjYwMS03MWNhM2Q1MDU3M2TYAgHgAgE&sid=163c68a8268c50df2156fd3f57d02f0f&checkin=2026-06-08&checkout=2026-06-09&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 112.00,11200,,£112 Price £112 Includes taxes and charges,46,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=51.456068&locale=en&longitude=-2.584724&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 117.18,11718,ec242d04-f266-4eba-807a-d16cfc0b157d,9502,Marriott Hotel Bristol City Centre,Two Double Beds Family Room,20260608|20260609|W|164|9502|FAM.2D-1|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~21275~-1207402337~N~~~NOR~~099469C27C55454178032121515405AAUK0088008400131021275,Booking.com,+GBP 5.18,518,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsOX9tAGwAIB0gIkNzJjOWIzZGUtY2NhZC00OWQ2LThiY2EtMDg2Yjk3NTkyZWM22AIB4AIB&sid=163c68a8268c50df2156fd3f57d02f0f&checkin=2026-06-08&checkout=2026-06-09&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 275.00,27500,,£275 Price £275 Includes taxes and charges,24,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=51.52399&locale=en&longitude=-0.078699&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 275.01,27501,24051296-d2d3-41d5-aa10-38a5189c628b,843257,Citizenm London Shoreditch,King Size Bed Double Room,20260608|20260609|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~201113~1369960012~N~~~NRF~~D8F36D0689034F3178032123685405AAUK10000937002010201113,Booking.com,+GBP 0.01,1,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 110.00,11000,Standard Double Room,£110 Price £110 Includes taxes and charges,140,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=52.475658&locale=en&longitude=-1.899295&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 110.00,11000,b9b71712-b64e-4df6-89e1-c3afd0647f0c,9040,Holiday Inn Birmingham City Centre,Accessible Double Room,20260608|20260609|W|164|9040|DBL.H6|ID_B2B_26|RO|IWS25|1~1~0||N@07~A-SIC~2006e~1192657296~N~~~NRF~~63462F899322432178032126890505AAUK012201170013102006e,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC9pf20AbAAgHSAiRhYTVmYzJjOS03Yzc1LTQ4ZDQtODJiYi1hOTZmZjk0N2E5MmLYAgHgAgE&sid=163c68a8268c50df2156fd3f57d02f0f&checkin=2026-06-08&checkout=2026-06-09&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 348.00,34800,,£348 Price £348 Includes taxes and charges,64,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=55.95009&locale=en&longitude=-3.186916&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 348.00,34800,26437365-10c7-48a9-98dc-5358bdbeadeb,6535,"Radisson Blu Hotel, Edinburgh City Centre",Standard Room,20260608|20260609|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20015c~697369220~N~~~NRF~~BC766A1F2A024F2178032128879605AAUK0178016900181020015c,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 323.00,32300,Standard Room,£323 Price £323 Includes taxes and charges,120,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=51.516873&locale=en&longitude=-0.149435&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 300.15,30015,cc81e799-775d-4521-aa01-d1e7c9f34e8e,8900,"The Welbeck Hotel London, an IHG Hotel",Standard Double Room,20260608|20260609|W|164|8900|DBL.ST-1|ID_B2B_71|RO|B2BNRF|1~1~0||N@07~A-SIC~20f12c~-274445138~N~~~NRF~~7A1B6ADF2DBF4BD178032130925205AAUK1000093800201020f12c,Omio/HBX,GBP -22.85,-2285,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 81.00,8100,Double Room,£81 Price £81 Includes taxes and charges,20,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=53.48124&locale=en&longitude=-2.227357&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 84.81,8481,caabc209-c15b-40c5-8dc3-9144e0078811,1034275,Residence Inn By Marriott Manchester Piccadilly,Queen Size Bed Double Room,20260608|20260609|W|164|1034275|DBL.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~25154~-308582538~N~~~NRF~~6C0F38C46C0948E178032133754305AAUK0147013700161025154,Booking.com,+GBP 3.81,381,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 70.00,7000,Standard Double Room with Free Hot Breakfast,£70 Price £70 Includes taxes and charges,10,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=53.800224&locale=en&longitude=-1.56499&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,omio_exact_hotel_not_found
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-06-08,2026-06-09,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-06-08&checkout=2026-06-09&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 114.00,11400,Standard Twin Room with Free Hot Breakfast,£114 Price £114 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=08-06-2026&checkOut=09-06-2026&children=0&currency=GBP&latitude=55.854938&locale=en&longitude=-4.250502&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 114.00,11400,f8be26ec-1376-4b28-8c28-4fd28e465470,23576,Holiday Inn Express Glasgow City Riverside,Standard Twin Room,20260608|20260609|W|163|23576|TWN.ST-2|ID_B2B_26|BB|IWU25|1~1~0||N@07~A-SIC~20072~-2114420077~N~~~NOR~~1FFC08074EB947C178032137613605AAUK0107010500141020072,Tie,GBP 0.00,0,
