row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
30,Moxy Bristol,Cabot Circus,Bristol,51.460492,-2.582926,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/moxy-bristol.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 89.00,8900,,£89 Price £89 Includes taxes and charges,32,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.460492&locale=en&longitude=-2.582926&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 89.07,8907,5a7e398b-471e-4f92-93bc-de1f8fcdb830,989159,Moxy Bristol,Queen Size Bed Double Room,20260601|20260602|W|164|989159|DBL.QN|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20759~890165237~N~~~NRF~~8EE4E177F87841A177969763077605AAUK0088008400131020759,Booking.com,+GBP 0.07,7,
31,Leonardo Hotel Bristol City,Temple Meads,Bristol,51.453928,-2.583266,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/leonardo-hotel-bristol-city.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 102.00,10200,,£102 Price £102 Includes taxes and charges,40,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.453928&locale=en&longitude=-2.583266&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 96.61,9661,1a9a4b17-7116-45fa-bfe7-b9a98bf17b86,855191,Leonardo Hotel Bristol City,Standard Double Room,20260601|20260602|W|164|855191|DBL.ST|BAR RO NRF 16|RO||1~1~0||P@07~A-SIC~23d60~-56560864~N~~~NRF~~CF64658AD52B4AD177969764892405AAUK0088008400131023d60,Omio/HBX,GBP -5.39,-539,
32,The Grand Bristol by Sunday,city centre,Bristol,51.455092,-2.593323,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-grand-hotel.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 80.66,8066,,£114 £81 Original price £114 Current price £81 £113.60 × 1 night £113.60 Getaway Deal - £32.94 This property is offering a discount on stays between 26 Mar–30 Sept 2026. Total £80.66 Includes taxes and charges 29% off 29% off You’re getting a reduced rate because this property is offering a Getaway ,54,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.455092&locale=en&longitude=-2.593323&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 79.53,7953,a4bc0a85-9e62-421e-9362-c45d051017a9,8935,Bristol Grand Hotel By Sunday,Comfort Double Room,20260601|20260602|W|164|8935|DBL.OM|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~2354f~-1985606443~N~~~NRF~~D120C8E17E5E428177969766749105AAUK008800840013102354f,Omio/HBX,GBP -1.13,-113,
33,Leonardo Hotel Cardiff,city centre,Cardiff,51.482769,-3.174339,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/leonardo-hotel-cardiff.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 86.00,8600,Standard Single Room,£86 Price £86 Includes taxes and charges,40,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.482769&locale=en&longitude=-3.174339&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 81.22,8122,3a822be3-e87d-40db-bb76-74554c5dc033,9506,Leonardo Hotel Cardiff,Standard Single Room,20260601|20260602|W|164|9506|SGL.ST-1|BAR NRF RO 16|RO||1~1~0||P@07~A-SIC~21651~-2125223431~N~~~NRF~~9BC50A7B07C0490177969768585205AAUK0045003900091021651,Omio/HBX,GBP -4.78,-478,
34,Moxy York,city centre,York,53.959839,-1.075059,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/moxy-york.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 109.00,10900,,£109 Price £109 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=53.959839&locale=en&longitude=-1.075059&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 115.55,11555,82e783ff-b5cd-4b3e-a78a-e918f2fae045,668755,Moxy York,Queen Size Bed Double Room,20260601|20260602|W|164|668755|DBL.QN|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~23773~-312017141~N~~~NOR~~C24711EB4755461177969770348305AAUK0056005400141023773,Booking.com,+GBP 6.55,655,
35,Maldron Hotel Newcastle,city centre,Newcastle upon Tyne,54.971624,-1.616292,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/maldron-newcastle.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 88.00,8800,,£100 £88 Original price £100 Current price £88 £100 × 1 night £100 Bonus savings - £12 You’re getting a reduced rate because this property is offering a discount. Total £88 Includes taxes and charges 12% off 12% off You’re getting a reduced rate because this property is offering a Bonus savings.,60,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=54.971624&locale=en&longitude=-1.616292&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 81.06,8106,3defca0e-5d65-4be9-acee-747e5bbb6532,644116,Maldron Hotel Newcastle,Deluxe Double Room,20260601|20260602|W|164|644116|DBL.DX|BAR NRF OP RO|RO||1~1~0||N@07~A-SIC~20651~-1493151456~N~~~NRF~~31705F591E1245D177969772195705AAUK0065006100121020651,Omio/HBX,GBP -6.94,-694,
36,ibis Cambridge Central Station,Central Station,Cambridge,52.195012,0.137584,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-cambridge.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 101.00,10100,,£101 Price £101 Includes taxes and charges,16,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=52.195012&locale=en&longitude=0.137584&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 84.92,8492,677231b0-b52f-4834-ad23-35e122ebaa39,490601,Ibis Cambridge Central Station,Standard Double Room,20260601|20260602|W|164|490601|DBL.ST-1|ID_B2B_64|RO|DB2BNRF|1~1~0||N@07~A-SIC~25c54~1498311859~N~~~NRF~~6E283A5A6EE64E8177969773997705AAUK0040003600121025c54,Omio/HBX,GBP -16.08,-1608,
37,Holiday Inn Express Portsmouth Gunwharf Quays by IHG,Gunwharf Quays,Portsmouth,50.795679,-1.104189,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhiportsmouth.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 153.00,15300,Standard Double Room with Free Hot Breakfast,£153 Price £153 Includes taxes and charges,20,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=50.795679&locale=en&longitude=-1.104189&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 153.00,15300,99fdadb5-e8d6-4cb6-8178-72ae2a0c5192,37120,Holiday Inn Express Portsmouth Gunwharf Quays,With Double Bed Double Room,20260601|20260602|W|164|37120|DBL.DB|ID_B2B_26|BB|IWS25|1~1~0||N@07~A-SIC~20099~-1713522730~N~~~NRF~~D775D2B2E54B428177969775782105AAUK0049004400061020099,Tie,GBP 0.00,0,
38,ibis Portsmouth Centre,city centre,Portsmouth,50.795198,-1.092749,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-portsmouth.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 105.00,10500,,£105 Price £105 Includes taxes and charges,16,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=50.795198&locale=en&longitude=-1.092749&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 96.60,9660,c442ce36-63a8-43b6-ba86-3de171f57a2f,380643,ibis Portsmouth Centre,Standard Double Room,20260601|20260602|W|164|380643|DBL.ST|ID_B2B_97|BB|APFLRB3|1~1~0||N@07~A-SIC~23c60~708166437~N~~~NRF~~3D7F960292164BE177969777569405AAUK0048004300061023c60,Omio/HBX,GBP -8.40,-840,
39,Moxy Plymouth,Millbay,Plymouth,50.368109,-4.15145,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/moxy-plymouth.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 95.00,9500,,£95 Price £95 Includes taxes and charges,20,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=50.368109&locale=en&longitude=-4.15145&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 100.72,10072,6333014f-e891-41ae-a9d4-91b1fd21463a,1034211,Moxy Plymouth,Queen Bed Non Smoking Double Room,20260601|20260602|W|164|1034211|DBL.NM-QN|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~24864~-970484812~N~~~NRF~~FAB3EC17A5E24CD177969779341705AAUK0023002000061024864,Booking.com,+GBP 5.72,572,
