row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1782741723326&force_referer=,GBP 263.00,26300,,£263 Price £263 Includes taxes and charges,90,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=7546,GBP 249.00,24900,6b5b1eff-108b-4434-be00-e75cfe371ee2,7546,Novotel London West,Queen Size Bed Double Room,20260706|20260707|W|164|7546|DBL.QN|ID_B2B_97|RO|APFLMRA3|1~1~0||N@07~A-SIC~200f9~-1259004807~N~~~NRF~~53E7F7D3701F475178274173886205AAUK00010001000605200f9,Omio/HBX,GBP -14.00,-1400,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 433.00,43300,Superior King Room with Sofa Bed,£433 Price £433 Includes taxes and charges,52,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=13896,GBP 458.63,45863,aabb2f86-7c4c-4973-bd22-da0c7bb4a24c,13896,Marriott Hotel London Marble Arch,Superior Double Room,20260706|20260707|W|164|13896|DBL.SU|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~23f1ca~-2051030762~N~~~NRF~~E1E3DE802F754CB178274175641605AAUK0001000100010523f1ca,Booking.com,+GBP 25.63,2563,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC_PWJ0gbAAgHSAiRhMjI0Yjk4ZC0wY2ExLTRmNTQtYjJhNC05ZWQ3ZmM2MTM3MDbYAgHgAgE&sid=7548e957667e442d761386df2ec9ef8e&checkin=2026-07-06&checkout=2026-07-07&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 98.00,9800,,£98 Price £98 Includes taxes and charges,46,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=9502,GBP 101.57,10157,9454c622-7178-42cf-acf9-43afc575a2ea,9502,Bristol Marriott City Centre,Two Double Beds Family Room,20260706|20260707|W|164|9502|FAM.2D-1|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~20067~1138632063~N~~~NOR~~CA6D88F9E10A4CE178274177398205AAUK0001000100010523965,Booking.com,+GBP 3.57,357,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Ao72idIGwAIB0gIkZGY0ODZmNzQtYjVmZS00ZGZmLTliY2EtYWNlYTlhN2VlM2Qx2AIB4AIB&sid=7548e957667e442d761386df2ec9ef8e&checkin=2026-07-06&checkout=2026-07-07&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 400.00,40000,,£400 Price £400 Includes taxes and charges,12,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=843257,GBP 424.03,42403,f94ebc4a-55ce-468c-af00-6ff3387fd0df,843257,citizenM London Shoreditch,King Size Bed Double Room,20260706|20260707|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~2031a8~620335177~N~~~NRF~~3E8AE067723145F178274179118305AAUK000100010001052031a8,Booking.com,+GBP 24.03,2403,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 77.00,7700,Standard Double Room,£77 Price £77 Includes taxes and charges,122,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=9040,GBP 72.00,7200,061ec9b3-a4b2-419d-9cda-fab3f7138b42,9040,Holiday Inn Birmingham City,Accessible Double Room,20260706|20260707|W|164|9040|DBL.H6|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20048~459981964~N~~~NRF~~DFCC05FE131145C178274180953305AAUK0001000100020520048,Omio/HBX,GBP -5.00,-500,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCsfaJ0gbAAgHSAiRiMzkxN2Y1Yi00MTEzLTQ4MzYtYmRiYi1iYWZhMDI5MDM0YTXYAgHgAgE&sid=7548e957667e442d761386df2ec9ef8e&checkin=2026-07-06&checkout=2026-07-07&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 314.00,31400,,£314 Price £314 Includes taxes and charges,32,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=6535,GBP 314.00,31400,12e434be-e384-4310-baee-27730e6fc21d,6535,Radisson Blu Edinburgh,Standard Room,20260706|20260707|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20013a~847424760~N~~~NRF~~7917105D478847D178274182706505AAUK0001000100020520013a,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 414.00,41400,Standard Room,£414 Price £414 Includes taxes and charges,72,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=8900,GBP 384.04,38404,91d5a8de-1cc0-4e74-8097-fc7197e27c55,8900,The Welbeck Hotel by IHG,Standard Double Room,20260706|20260707|W|164|8900|DBL.ST-1|ID_B2B_71|RO|B2BNRF|1~1~0||N@07~A-SIC~204180~1488503163~N~~~NRF~~9D9B846EF7C1460178274184500105AAUK00010001000305204180,Omio/HBX,GBP -29.96,-2996,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 102.00,10200,Queen Studio with Sofa Bed,£102 Price £102 Includes taxes and charges,8,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=1034275,GBP 93.28,9328,19c26d48-2baf-4af2-ba61-25f05a8e47b7,1034275,Residence Inn by Marriott Manchester Piccadilly,Queen Size Bed Studio,20260706|20260707|W|164|1034275|STU.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~21c5d~2096823416~N~~~NRF~~6893CC8F55274CC178274186216205AAUK0001000100010521c5d,Omio/HBX,GBP -8.72,-872,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 115.00,11500,Standard Twin Room with Free Hot Breakfast,£115 Price £115 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=36717,GBP 115.00,11500,33327632-653a-454b-8ed8-6933a3b4a0dc,36717,Holiday Inn Express Leeds City Centre by IHG,Standard Twin Room,20260706|20260707|W|164|36717|TWN.ST-2|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~20073~-1354286383~N~~~NOR~~631102305C56472178274187913205AAUK0001000100020520073,Tie,GBP 0.00,0,
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 95.00,9500,Double Room with Free Hot Breakfast - Accessible,£95 Price £95 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=23576,GBP 95.00,9500,ce17c88c-b58a-4a5d-b59c-4e9c443baf69,23576,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Accessible Double Room,20260706|20260707|W|163|23576|DBL.H6-1|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~2005f~1064371914~N~~~NOR~~87B935E4EFB64A1178274189624105AAUK000100010002052005f,Tie,GBP 0.00,0,
11,ibis London City - Shoreditch,City fringe,London,51.515593,-0.072942,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-london-city.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 266.00,26600,,£266 Price £266 Includes taxes and charges,40,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=228571,GBP 235.66,23566,cdb41ca6-1719-4f4b-bbd5-b312fd9c5493,228571,ibis London City - Shoreditch,Standard Double Room,20260706|20260707|W|164|228571|DBL.ST-1|ID_B2B_71|RO|B2B|1~1~0||N@07~A-SIC~242eb~-1110884062~N~~~NOR~~618ABC002B6B4F6178274191397505AAUK00010001000605242eb,Omio/HBX,GBP -30.34,-3034,
12,Point A London Liverpool Street,City & Shoreditch,London,51.521055,-0.077641,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/point-a-london-liverpool-street.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 306.00,30600,,£340 £306 Original price £340 Current price £306 £340 × 1 night £340 Bonus savings - £34 You’re getting a reduced rate because this property is offering a discount. Total £306 Includes taxes and charges 10% off 10% off You’re getting a reduced rate because this property is offering a Bonus savings.,44,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=311545,GBP 275.40,27540,f0f73fe5-e4b8-4a50-aa50-640235707bc7,311545,Point A London Liverpool Street,Inner Double Room,20260706|20260707|W|164|311545|DBL.IN|PACKAGED RO|RO||1~1~0||P@07~A-SIC~228113~-1268649153~N~~~NRF~~C40D87CC7F574B6178274193188505AAUK00010001000405228113,Omio/HBX,GBP -30.60,-3060,
13,Point A Hotel London Paddington,Paddington,London,51.518147,-0.170726,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/point-a-hotel-london-paddington.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 223.00,22300,,£248 £223 Original price £248 Current price £223 £248 × 1 night £248 Bonus savings - £24.80 You’re getting a reduced rate because this property is offering a discount. Total £223.20 Includes taxes and charges 10% off 10% off You’re getting a reduced rate because this property is offering a Bonus sav,96,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=314844,GBP 200.88,20088,a2f9fb47-f9d4-4297-a1e9-67de83fd2578,314844,Point A Hotel London Paddington,Inner Double Room,20260706|20260707|W|164|314844|DBL.IN|PACKAGED RO|RO||1~1~0||P@07~A-SIC~258c8~1359149436~N~~~NRF~~AB14A7EC1DBE40F178274194968105AAUK00010001000405258c8,Omio/HBX,GBP -22.12,-2212,
14,Point A Hotel London Waterloo,Waterloo,London,51.499116,-0.112579,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/point-a-hotel-london-westminster.en-gb.html?label=gen173nr-10CAsoUEIgcG9pbnQtYS1ob3RlbC1sb25kb24td2VzdG1pbnN0ZXJIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Ar33idIGwAIB0gIkODkwODE0MGItYjUwNS00N2NlLWI4ZWUtMDdmYzgwYzcyMjMy2AIB4AIB&sid=7548e957667e442d761386df2ec9ef8e&checkin=2026-07-06&checkout=2026-07-07&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 294.50,29450,Cosy Single Room with Window,£310 £295 Original price £310 Current price £295 £310 × 1 night £310 Bonus savings - £15.50 You’re getting a reduced rate because this property is offering a discount. Total £294.50 Includes taxes and charges 5% off 5% off You’re getting a reduced rate because this property is offering a Bonus savin,5,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=315210,,,,315210,Point A Hotel London Waterloo,,,n/a,,,omio_price_unavailable
15,Novotel London Canary Wharf,Canary Wharf,London,51.501204,-0.023374,2026-07-06,2026-07-07,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotel-london-canary-wharf.en-gb.html?checkin=2026-07-06&checkout=2026-07-07&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 409.00,40900,,£409 Price £409 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=521061,GBP 400.05,40005,5307b412-37cd-4e2c-99ea-1c25c898e422,521061,Novotel London Canary Wharf,Superior Double Room,20260706|20260707|W|164|521061|DBL.SU|ID_B2B_87|RO|B2BNRFEUXX|1~1~0||N@07~A-SIC~205190~-1583758320~N~~~NRF~~A347DA92310F4C6178274198032805AAUK00010001000405205190,Omio/HBX,GBP -8.95,-895,
