row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1778181520460&force_referer=,GBP 219.00,21900,,£219 Price £219 Includes taxes and charges,90,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.491809&locale=en&longitude=-0.22057&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 182.74,18274,da127155-cf29-46e4-ad74-5e636818ac68,7546,Novotel London West,Queen Size Bed Double Room,20260514|20260515|W|164|7546|DBL.QN|ID_B2B_88|RO|B2BNRFEUXX|1~1~0||N@07~A-SIC~24ab6~853963358~N~~~NRF~~02747ECCF7B445B177818153602605AAUK0908082600191024ab6,Omio/HBX,GBP -36.26,-3626,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 295.00,29500,,£295 Price £295 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.516415&locale=en&longitude=-0.163603&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 295.20,29520,a4226a93-69e5-4938-9760-3dad268f55c4,13896,Marriott Hotel London Marble Arch,Deluxe King Bed Double Room,20260514|20260515|W|164|13896|DBL.DX-KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~214127~-224739388~N~~~NRF~~C3FF91314044485177818156135705AAUK09090826001910214127,Booking.com,+GBP 0.20,20,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCwcvzzwbAAgHSAiQzNGY4ZTQ4Ni0zZTM1LTRjZTgtOWM2NC04ZjY3NzYyMWVkNjXYAgHgAgE&sid=bbdec4794881139eab53ae40e5e9ed36&checkin=2026-05-14&checkout=2026-05-15&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 116.00,11600,,£116 Price £116 Includes taxes and charges,34,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.456068&locale=en&longitude=-2.584724&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 127.23,12723,12cdb88c-e312-4da0-82e4-08a7a4b70a47,9502,Marriott Hotel Bristol City Centre,Deluxe Double Room,20260514|20260515|W|164|9502|DBL.DX|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~20181~-359717262~N~~~NOR~~93D97EFA48AD4EA177818158676705AAUK008000760009102177f,Booking.com,+GBP 11.23,1123,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtPL888GwAIB0gIkNmMzNWQ4ZmYtZGUzNC00ZjEwLWE2NDUtMGE5ZDdlZGJhNzA02AIB4AIB&sid=bbdec4794881139eab53ae40e5e9ed36&checkin=2026-05-14&checkout=2026-05-15&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 288.00,28800,King Room,£288 Price £288 Includes taxes and charges,28,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.52399&locale=en&longitude=-0.078699&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 288.00,28800,11f56b23-5d17-4c7d-8511-f33c43961238,843257,Citizenm London Shoreditch,King Size Bed Double Room,20260514|20260515|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~200120~-227231886~N~~~NRF~~BD1A645CFDEF43E177818160519705AAUK08750794001910200120,Tie,GBP 0.00,0,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 131.00,13100,Standard Double Room,£131 Price £131 Includes taxes and charges,90,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=52.475658&locale=en&longitude=-1.899295&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 131.00,13100,88936efe-f573-459f-a494-b34a67f97010,9040,Holiday Inn Birmingham City Centre,Standard Double Room,20260514|20260515|W|164|9040|DBL.ST-1|ID_B2B_26|RO|IWS25|1~1~0||N@07~A-SIC~20083~1259665089~N~~~NRF~~09E1CE45667E49F177818163004605AAUK0109010200101020083,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC_8vzzwbAAgHSAiQxMTdhZjc2ZC01MjBkLTRkYmEtODQyYS03ZGRiZTMxNmU0NmXYAgHgAgE&sid=bbdec4794881139eab53ae40e5e9ed36&checkin=2026-05-14&checkout=2026-05-15&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 458.00,45800,,£458 Price £458 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=55.95009&locale=en&longitude=-3.186916&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 458.00,45800,b6c595ba-7955-46cc-bc12-5482433924d8,6535,"Radisson Blu Hotel, Edinburgh City Centre",Standard Room,20260514|20260515|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~2001ca~-487295554~N~~~NRF~~4C1F448240754C9177818164882105AAUK014301300013102001ca,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 378.00,37800,Standard Room,£378 Price £378 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.516873&locale=en&longitude=-0.149435&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 378.00,37800,5994f7ff-08cc-4047-8335-66ebc74bc21b,8900,"The Welbeck Hotel London, an IHG Hotel",Standard Room,20260514|20260515|W|164|8900|ROO.ST|ID_B2B_26|RO|IDS15|1~1~0||N@07~A-SIC~20017a~-1569947274~N~~~NRF~~F0AAC193E71B455177818166813105AAUK0900081700191020017a,Tie,GBP 0.00,0,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 86.00,8600,Double Room,£86 Price £86 Includes taxes and charges,28,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=53.48124&locale=en&longitude=-2.227357&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 90.11,9011,4b57e56d-34e7-4185-aaf8-855433bdb7c5,1034275,Residence Inn By Marriott Manchester Piccadilly,Queen Size Bed Double Room,20260514|20260515|W|164|1034275|DBL.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~20b5a~-592673403~N~~~NRF~~931E3F03712A4AE177818169247905AAUK0146013000151020b5a,Booking.com,+GBP 4.11,411,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 64.00,6400,Standard Double Room with Free Hot Breakfast,£64 Price £64 Includes taxes and charges,8,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=53.800224&locale=en&longitude=-1.56499&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 64.00,6400,3ebbbbe1-a917-4fde-8ad3-dd7f16267603,36717,Holiday Inn Express Leeds City Centre,Standard Twin Room,20260514|20260515|W|164|36717|TWN.ST-2|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~20040~-1607241343~N~~~NOR~~36903BEC161948A177818171165805AAUK0073006500091020040,Tie,GBP 0.00,0,
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 122.00,12200,Standard Double Room with Sofa Bed and Free Hot Breakfast,£122 Price £122 Includes taxes and charges,4,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=55.854938&locale=en&longitude=-4.250502&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 122.00,12200,28e2d20d-712a-4081-ae0d-4af412e2f28b,23576,Holiday Inn Express Glasgow City Riverside,Standard Double Room,20260514|20260515|W|163|23576|DBL.ST-3|ID_B2B_26|BB|IWU25|1~1~0||N@07~A-SIC~2007a~615303568~N~~~NOR~~8509BE97A54F479177818172946505AAUK010300990011102007a,Tie,GBP 0.00,0,
11,ibis London City - Shoreditch,City fringe,London,51.515593,-0.072942,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/ibis-london-city.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 198.00,19800,,£198 Price £198 Includes taxes and charges,40,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.515593&locale=en&longitude=-0.072942&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 178.06,17806,e6af50f4-e59e-4358-9f3a-2bb9e9a94b11,228571,Ibis London City - Shoreditch,Standard Double Room,20260514|20260515|W|164|228571|DBL.ST-1|ID_B2B_87|RO|B2BNRFEUXX|1~1~0||N@07~A-SIC~206b2~-1602702546~N~~~NRF~~94729337189D447177818174774405AAUK08740793001910206b2,Omio/HBX,GBP -19.94,-1994,
12,Point A London Liverpool Street,City & Shoreditch,London,51.521055,-0.077641,2026-05-14,2026-05-15,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/point-a-london-liverpool-street.en-gb.html?checkin=2026-05-14&checkout=2026-05-15&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 261.00,26100,Room Assigned on Arrival,£261 Price £261 Includes taxes and charges,42,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=14-05-2026&checkOut=15-05-2026&children=0&currency=GBP&latitude=51.521055&locale=en&longitude=-0.077641&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 254.34,25434,f3596cc0-a09a-4a40-9093-2afbbe6757cc,311545,Point A Liverpool Street,Inner Double Room,20260514|20260515|W|164|311545|DBL.IN|PACKAGED RO|RO||1~1~0||P@07~A-SIC~222fe~-151223906~N~~~NRF~~53EC934B07A0446177818177184605AAUK08750794001910222fe,Omio/HBX,GBP -6.66,-666,
