row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1779091296495&force_referer=,GBP 109.00,10900,,£109 Price £109 Includes taxes and charges,70,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=51.491809&locale=en&longitude=-0.22057&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 111.51,11151,2f734ae2-5afd-411d-a7df-3216ebb3f11c,7546,Novotel London West,Superior Double Room,20260525|20260526|W|164|7546|DBL.SU|ID_B2B_87|RO|PKGNRFEUXX|1~1~0||N@07~A-SIC~2336f~1201134608~N~~~NRF~~9BD18AA9FA83449177909131182305AAUK100009320019102336f,Booking.com,+GBP 2.51,251,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 215.00,21500,,£215 Price £215 Includes taxes and charges,52,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=51.516415&locale=en&longitude=-0.163603&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 215.20,21520,d11d296a-fb80-4fff-8244-4a63fcfb43fe,13896,Marriott Hotel London Marble Arch,Deluxe King Bed Double Room,20260525|20260526|W|164|13896|DBL.DX-KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~214d7~1454403483~N~~~NRF~~E0666B60B255436177909134152605AAUK10000932001910214d7,Booking.com,+GBP 0.20,20,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCmY-r0AbAAgHSAiRhOGVjMzJiMy1kNjIzLTQyZTQtYWE2Ny01YTNmOTc1NTg3OGPYAgHgAgE&sid=0a9cd1e05c5e473027d3badd4e3b06e6&checkin=2026-05-25&checkout=2026-05-26&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 85.00,8500,,£85 Price £85 Includes taxes and charges,46,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=51.456068&locale=en&longitude=-2.584724&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 76.21,7621,96094365-6626-42fa-a5a1-e16aebc54720,9502,Marriott Hotel Bristol City Centre,Two Double Beds Family Room,20260525|20260526|W|164|9502|FAM.2D-1|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~2154c~-2064942835~N~~~NRF~~7480365A2E5C445177909137115305AAUK009100870013102154c,Omio/HBX,GBP -8.79,-879,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AqyPq9AGwAIB0gIkYmQ2ZDFkNDktMTIxNy00NzdlLTg1NzQtZjVmNzJhYmE5OGI12AIB4AIB&sid=0a9cd1e05c5e473027d3badd4e3b06e6&checkin=2026-05-25&checkout=2026-05-26&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 101.00,10100,King Room,£101 Price £101 Includes taxes and charges,42,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=51.52399&locale=en&longitude=-0.078699&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 101.01,10101,e274decf-edb0-488e-842f-790d41cc6b80,843257,Citizenm London Shoreditch,King Size Bed Double Room,20260525|20260526|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20165~1235243007~N~~~NRF~~58015405C4864B3177909138958505AAUK1000093400191020165,Booking.com,+GBP 0.01,1,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 63.00,6300,Standard Double Room,£63 Price £63 Includes taxes and charges,100,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=52.475658&locale=en&longitude=-1.899295&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 63.00,6300,7e933a13-cbfd-4215-88aa-53abd4ed7376,9040,Holiday Inn Birmingham City Centre,Accessible Double Room,20260525|20260526|W|164|9040|DBL.H6|ID_B2B_26|RO|IWS25|1~1~0||N@07~A-SIC~2003f~652593869~N~~~NRF~~4F1A511B1D5A498177909142062405AAUK012401180013102003f,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC3o-r0AbAAgHSAiRlOWJmZjM2OS02ODAzLTQ0NzEtYjAzMy1hNzdmNjRmNzk0NjXYAgHgAgE&sid=0a9cd1e05c5e473027d3badd4e3b06e6&checkin=2026-05-25&checkout=2026-05-26&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 297.00,29700,,£297 Price £297 Includes taxes and charges,48,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=55.95009&locale=en&longitude=-3.186916&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 297.00,29700,bf1f6857-c52d-4ce8-91f8-3c833b3c26bd,6535,"Radisson Blu Hotel, Edinburgh City Centre",Standard Room,20260525|20260526|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~200129~-621012707~N~~~NRF~~2C4AFE3CFA2246D177909144079305AAUK01710159001710200129,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 270.00,27000,Standard Room,£270 Price £270 Includes taxes and charges,72,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=51.516873&locale=en&longitude=-0.149435&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 250.98,25098,71066252-31d5-42af-ae32-4f8adfa16f8a,8900,"The Welbeck Hotel London, an IHG Hotel",Standard Double Room,20260525|20260526|W|164|8900|DBL.ST-1|ID_B2B_71|RO|B2BNRF|1~1~0||N@07~A-SIC~262fa~-281572766~N~~~NRF~~CF8A207CEB2C496177909146030505AAUK10000932001910262fa,Omio/HBX,GBP -19.02,-1902,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 81.00,8100,Double Room,£81 Price £81 Includes taxes and charges,28,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=53.48124&locale=en&longitude=-2.227357&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 84.81,8481,fc373ad2-dedb-4366-9ea9-48b15d64cb10,1034275,Residence Inn By Marriott Manchester Piccadilly,Queen Size Bed Double Room,20260525|20260526|W|164|1034275|DBL.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~25154~1981174295~N~~~NRF~~AEAE31E8FA0E47C177909148908405AAUK0143012900151025154,Booking.com,+GBP 3.81,381,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 58.00,5800,Standard Double Room with Free Hot Breakfast,£58 Price £58 Includes taxes and charges,8,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=53.800224&locale=en&longitude=-1.56499&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 58.00,5800,c302f4b9-a861-42f0-8965-8943362707ca,36717,Holiday Inn Express Leeds City Centre,Standard Single Room,20260525|20260526|W|164|36717|SGL.ST|ID_B2B_44|BB|B2CXXXX|1~1~0||N@07~A-SIC~2003a~1984486669~N~~~NOR~~08FEF498BD2E453177909150907005AAUK007600690010102003a,Tie,GBP 0.00,0,
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-05-25,2026-05-26,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-05-25&checkout=2026-05-26&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 150.00,15000,Standard Double Room with Sofa Bed and Free Hot Breakfast,£150 Price £150 Includes taxes and charges,4,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=25-05-2026&checkOut=26-05-2026&children=0&currency=GBP&latitude=55.854938&locale=en&longitude=-4.250502&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 150.00,15000,90d0cbfc-e829-413e-b3b7-7d0f5de320b1,23576,Holiday Inn Express Glasgow City Riverside,Standard Double Room,20260525|20260526|W|163|23576|DBL.ST-3|ID_B2B_26|BB|IWU25|1~1~0||N@07~A-SIC~20096~-1335909144~N~~~NOR~~DA6A5E1C41F94DE177909152715305AAUK0104010000121020096,Tie,GBP 0.00,0,
