row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1778489287705&force_referer=,GBP 195.00,19500,,£195 Price £195 Includes taxes and charges,100,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=51.491809&locale=en&longitude=-0.22057&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 185.74,18574,6cfef73b-d525-495c-9ac9-067e2f2f61bf,7546,Novotel London West,Superior Twin Room,20260518|20260519|W|164|7546|TWN.SU-4|ID_B2B_64|RO|DB2BNRF|1~1~0||N@07~A-SIC~24ab9~-1802649031~N~~~NRF~~3A8AC42AA7794E1177848930309105AAUK0983090100191024ab9,Omio/HBX,GBP -9.26,-926,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 319.00,31900,,£319 Price £319 Includes taxes and charges,48,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=51.516415&locale=en&longitude=-0.163603&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 319.20,31920,99132005-f6b5-43ae-9deb-9027fa1e43c9,13896,Marriott Hotel London Marble Arch,Deluxe King Bed Double Room,20260518|20260519|W|164|13896|DBL.DX-KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~21413f~2040762149~N~~~NRF~~20F8AD4AA703435177848932957405AAUK0984090100191021413f,Booking.com,+GBP 0.20,20,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC-q-G0AbAAgHSAiRiZmY5ZTJiOC00NDg5LTQwN2EtOGViYS04NzY4ODg3ODRlYTfYAgHgAgE&sid=89bea59df9d3bdcac30153a419c44f92&checkin=2026-05-18&checkout=2026-05-19&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 170.00,17000,,£170 Price £170 Includes taxes and charges,20,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=51.456068&locale=en&longitude=-2.584724&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 168.15,16815,b54ac97d-9266-40f8-ae67-17fd992f291b,9502,Marriott Hotel Bristol City Centre,Two Double Beds Family Room,20260518|20260519|W|164|9502|FAM.2D-1|ID_B2B_44|BB|B2CXXXX|1~1~0||N@07~A-SIC~232aa~1327989329~N~~~NOR~~71D85887398A412177848935578405AAUK0081007700091020fa8,Omio/HBX,GBP -1.85,-185,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Ao2whtAGwAIB0gIkZDIyZmRmZTktNzQ5Yi00YzkxLTkwNjMtYzhhMjMwMWNjNDU32AIB4AIB&sid=89bea59df9d3bdcac30153a419c44f92&checkin=2026-05-18&checkout=2026-05-19&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 344.00,34400,,£344 Price £344 Includes taxes and charges,12,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=51.52399&locale=en&longitude=-0.078699&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 344.00,34400,ba918ed4-13a5-4fc7-86a6-108b77e98125,843257,Citizenm London Shoreditch,King Size Bed Double Room,20260518|20260519|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~200158~-1938264568~N~~~NOR~~8E38BC45574B4A2177848937414405AAUK09500869001910200158,Tie,GBP 0.00,0,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 144.00,14400,Premium King Room,£144 Price £144 Includes taxes and charges,72,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=52.475658&locale=en&longitude=-1.899295&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 144.00,14400,0ef5018b-995b-4134-bef7-4986986953b9,9040,Holiday Inn Birmingham City Centre,Premium King Bed Double Room,20260518|20260519|W|164|9040|DBL.KG-PI|ID_B2B_26|RO|IWS25|1~1~0||N@07~A-SIC~20090~708715998~N~~~NRF~~A33A4D44483E449177848940109605AAUK0122011600101020090,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCu7CG0AbAAgHSAiQ5ZjJjODY5NS0zNDViLTQyODMtOWE3Mi1iZTRkY2FiN2E4Y2TYAgHgAgE&sid=89bea59df9d3bdcac30153a419c44f92&checkin=2026-05-18&checkout=2026-05-19&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 285.00,28500,,£285 Price £285 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=55.95009&locale=en&longitude=-3.186916&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 285.00,28500,79a0dab6-12f5-42ee-8c83-682f4a76bcca,6535,"Radisson Blu Hotel, Edinburgh City Centre",Standard Room,20260518|20260519|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20011d~908670001~N~~~NRF~~C7B806773D9241F177848942037905AAUK0153014000141020011d,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 357.00,35700,Standard Room,£357 Price £357 Includes taxes and charges,80,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=51.516873&locale=en&longitude=-0.149435&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 357.00,35700,e7be5278-2fb7-4f85-9dbf-c62266d62c5c,8900,"The Welbeck Hotel London, an IHG Hotel",Standard Room,20260518|20260519|W|164|8900|ROO.ST|ID_B2B_26|RO|IDS15|1~1~0||N@07~A-SIC~200165~1140518789~N~~~NRF~~A51079EEAD554D6177848943989105AAUK09770893001910200165,Tie,GBP 0.00,0,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 77.00,7700,Double Room,£77 Price £77 Includes taxes and charges,28,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=53.48124&locale=en&longitude=-2.227357&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 80.56,8056,31847536-364b-4147-a49d-ea8cac2671dc,1034275,Residence Inn By Marriott Manchester Piccadilly,Queen Size Bed Double Room,20260518|20260519|W|164|1034275|DBL.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~23850~749595788~N~~~NRF~~3CCBCE28CC60497177848946570805AAUK0142012700141023850,Booking.com,+GBP 3.56,356,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=53.800224&locale=en&longitude=-1.56499&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,booking_price_unavailable;omio_exact_hotel_not_found
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-05-18,2026-05-19,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-05-18&checkout=2026-05-19&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 100.00,10000,Standard Double Room with Sofa Bed and Free Hot Breakfast,£100 Price £100 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=18-05-2026&checkOut=19-05-2026&children=0&currency=GBP&latitude=55.854938&locale=en&longitude=-4.250502&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 100.00,10000,bb125ea1-f6ab-40dc-8391-3d2134acd70f,23576,Holiday Inn Express Glasgow City Riverside,Standard Twin Room,20260518|20260519|W|163|23576|TWN.ST-2|ID_B2B_26|BB|IWU25|1~1~0||N@07~A-SIC~20064~-1492715354~N~~~NOR~~EAFA88C5D944409177848950325405AAUK0099009500101020064,Tie,GBP 0.00,0,
