row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1783942702318&force_referer=,GBP 222.00,22200,,£222 Price £222 Includes taxes and charges,100,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=7546,GBP 185.67,18567,7279c275-b80c-4e79-a958-a190ddd56008,7546,Novotel London West,Superior Room,20260720|20260721|W|164|7546|ROO.SU|ID_B2B_96|BB|B2CXXXX|1~1~0||N@07~A-SIC~243b9~79459548~N~~~NOR~~19F301924A2B413178394271916205AAUK00010001000605243b9,Omio/HBX,GBP -36.33,-3633,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 552.00,55200,Superior King Room with Sofa Bed,£552 Price £552 Includes taxes and charges,52,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=13896,GBP 449.61,44961,0747e7bb-37a4-4392-bc3b-414894a1230b,13896,Marriott Hotel London Marble Arch,Deluxe King Bed Double Room,20260720|20260721|W|164|13896|DBL.DX-KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~23d1c1~185650375~N~~~NRF~~B6271E84952D453178394273786705AAUK0001000100010523d1c1,Omio/HBX,GBP -102.39,-10239,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC0pzT0gbAAgHSAiQwNDVhZjIwNS01ZDBhLTQ2NDEtODMwNS1lMGM3MmQwN2U4NjfYAgHgAgE&sid=e0bc2878dbdc3410d526911f023f53a6&checkin=2026-07-20&checkout=2026-07-21&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 125.00,12500,,£125 Price £125 Includes taxes and charges,22,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=9502,GBP 137.08,13708,e4c7529d-24e6-48d9-b589-271547e101f9,9502,Bristol Marriott City Centre,Deluxe Double Room,20260720|20260721|W|164|9502|DBL.DX|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~2638a~-1699500369~N~~~NOR~~E5A187E39E8549A178394275552505AAUK0001000100010520889,Booking.com,+GBP 12.08,1208,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AuOc09IGwAIB0gIkYzk4YzVkZjgtODY2MS00MjgwLThjOWItNDZhYjZmMjhjNmVl2AIB4AIB&sid=e0bc2878dbdc3410d526911f023f53a6&checkin=2026-07-20&checkout=2026-07-21&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 246.00,24600,,£246 Price £246 Includes taxes and charges,24,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=843257,GBP 260.77,26077,d3ab57eb-0bbf-44f7-888b-bd54df81b115,843257,citizenM London Shoreditch,King Size Bed Double Room,20260720|20260721|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~24d104~-184474444~N~~~NRF~~838CE6664E514FA178394277281705AAUK0001000100010524d104,Booking.com,+GBP 14.77,1477,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 89.00,8900,Standard Double Room,£89 Price £89 Includes taxes and charges,86,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=9040,GBP 89.00,8900,bd383c17-eafa-40fd-903c-ca4b5d435624,9040,Holiday Inn Birmingham City,King Size Bed Double Room,20260720|20260721|W|164|9040|DBL.KG-1|ID_B2B_26|B2|IKB15|1~1~0||N@07~A-SIC~20059~-285971007~N~~~NOR~~D8B9A5A417B3460178394279080505AAUK0001000100020520059,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCh53T0gbAAgHSAiQyYTEyN2VjYi01YjlmLTQwODEtYjllZS02NGI4YWQ3YTZjYjTYAgHgAgE&sid=e0bc2878dbdc3410d526911f023f53a6&checkin=2026-07-20&checkout=2026-07-21&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 339.00,33900,,£339 Price £339 Includes taxes and charges,48,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=6535,GBP 339.00,33900,6280ceba-eb30-4d94-8588-ec915cc20fe0,6535,Radisson Blu Edinburgh,Standard Room,20260720|20260721|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~200153~-1844036225~N~~~NRF~~2D06C91D793A468178394280998405AAUK00010001000205200153,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,,,,,0,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=8900,,,,8900,The Welbeck Hotel by IHG,,,n/a,,,booking_price_unavailable;omio_price_unavailable
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 104.00,10400,Queen Studio,£104 Price £104 Includes taxes and charges,20,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=1034275,GBP 103.88,10388,15caacc2-6bd9-4deb-8fa3-d5e3a30fd5f8,1034275,Residence Inn by Marriott Manchester Piccadilly,Queen Size Bed Double Room,20260720|20260721|W|164|1034275|DBL.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~25867~-159180669~N~~~NRF~~F5C41C750A06441178394284624905AAUK0001000100010525867,Omio/HBX,GBP -0.12,-12,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 90.00,9000,Standard Double Room with Free Hot Breakfast,£90 Price £90 Includes taxes and charges,10,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=36717,GBP 90.00,9000,a90f09da-a802-41f6-a3f6-a7a499cf7ba4,36717,Holiday Inn Express Leeds City Centre by IHG,Standard Double Room,20260720|20260721|W|164|36717|DBL.ST-2|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~2005a~-163283283~N~~~NOR~~C24514CE3242459178394286449905AAUK000100010001052005a,Tie,GBP 0.00,0,
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-07-20,2026-07-21,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-07-20&checkout=2026-07-21&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 135.00,13500,Standard Twin Room with Free Hot Breakfast,£135 Price £135 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/availability?hotelId=23576,GBP 145.00,14500,9969f60c-7ecf-42ca-96bd-b0beed0d3962,23576,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Standard Double Room,20260720|20260721|W|163|23576|DBL.ST|ID_B2B_44|BB|B2CXXXX|1~1~0||N@07~A-SIC~20091~-1895763192~N~~~NOR~~C6F9C11CC7C241C178394288272405AAUK0001000100020520091,Booking.com,+GBP 10.00,1000,
